id,age,statut,bac_serie,cible,niveau_agronomie,niveau_algorithme,niveau_algèbre,niveau_analyse,niveau_analyse_mathématique,niveau_anglais,niveau_assainissement,niveau_autocad,niveau_bactériologie,niveau_base_de_données,niveau_biochimie,niveau_biologie_animale,niveau_biologie_cellulaire,niveau_botanique,niveau_chimie,niveau_comptabilité,niveau_dessin,niveau_droit,niveau_ecologie,niveau_economie,niveau_econométrie,niveau_electricité,niveau_electronique,niveau_environnement,niveau_enzymologie,niveau_finance_publique,niveau_fiscalité,niveau_français,niveau_génétique,niveau_géologie,niveau_html_css,niveau_hydraulique,niveau_hygiène,niveau_industries_pharmaceutiques,niveau_informatique,niveau_informatique_scientifique,niveau_langage_c,niveau_logique,niveau_macroéconomie_microéconomie,niveau_maintenance,niveau_marketing,niveau_mathématique_discrète,niveau_mathématique_financière,niveau_mathématiques,niveau_musique,niveau_mécanique,niveau_nutrition_humaine,niveau_organisation_dentreprise,niveau_ouvrages_métalliques,niveau_pharmacologie,niveau_physiologie_animale,niveau_physiologie_végétale,niveau_physique,niveau_probabilité_statistique,niveau_pétrologie,niveau_science_des_aliments,niveau_sites_touristiques,niveau_statistiques_appliquée,niveau_structure_de_données,niveau_structure_des_ordinateurs,niveau_technique_bancaire,niveau_thermodynamique,niveau_thermophysique,niveau_virologie,niveau_zootechnie,travail_equipe,autonomie,analyse_synthese,creativite,gestion_projet,environnement,secteur,filiere_nom
1,18,1,1,3,1,5,3,3,5,3,1,3,2,3,1,1,1,1,3,3,1,3,1,3,3,3,3,2,1,2,3,4,1,1,5,2,2,2,1,3,4,1,4,2,1,4,2,3,2,1,3,2,3,1,2,1,3,2,3,3,2,4,5,1,1,3,1,2,1,0,0,1,1,1,3,5,ISAIA
2,29,0,3,5,3,3,3,1,3,5,1,3,3,1,1,2,2,2,3,4,3,5,1,4,1,2,2,2,1,4,3,5,2,1,3,2,2,3,2,1,2,1,1,3,5,3,3,2,3,2,2,4,1,3,2,1,1,1,1,3,1,3,2,3,4,2,2,3,2,1,0,0,1,1,0,6,FIC
3,32,0,3,5,3,2,3,1,3,3,3,2,3,3,3,1,1,2,1,4,3,5,2,4,1,2,2,1,1,4,3,3,1,3,2,1,3,1,1,3,2,3,1,2,5,1,3,3,3,1,3,5,2,3,3,2,2,3,2,1,1,1,1,2,4,3,3,1,3,0,0,0,0,0,0,0,FIC
4,20,0,1,10,2,1,3,4,3,5,3,2,4,2,5,4,4,1,5,2,2,2,2,3,1,3,3,3,4,1,2,5,5,1,1,1,1,5,3,2,1,2,2,1,1,2,3,1,1,3,3,1,1,4,4,5,2,2,1,2,1,1,2,1,2,5,2,5,2,1,0,0,1,0,5,9,PIP
5,41,0,0,1,2,5,5,1,3,3,1,1,1,5,1,3,1,2,1,3,1,3,3,1,3,1,2,3,3,3,3,4,2,1,5,3,2,1,2,4,3,3,3,2,2,4,1,1,5,3,3,1,1,3,1,3,2,4,2,1,1,2,4,1,2,3,3,2,3,0,1,0,0,1,0,1,IMTICIA
6,26,0,1,4,2,1,3,3,2,5,2,2,1,1,3,2,2,1,1,5,1,5,1,5,3,3,2,3,1,4,4,5,1,3,1,2,3,3,1,2,1,1,2,2,4,2,1,3,1,3,1,5,3,2,3,3,1,1,1,1,2,1,1,3,5,2,3,3,1,1,0,0,1,0,4,3,CAA
7,44,1,1,6,1,1,1,3,1,4,2,2,1,2,2,3,3,2,3,3,2,4,1,5,1,3,2,1,1,5,5,5,2,2,3,3,1,2,3,1,2,4,3,2,4,3,3,3,3,3,3,4,2,2,1,3,2,3,2,3,1,3,2,3,2,3,2,2,2,1,0,0,1,1,4,14,DTJA
8,37,0,2,5,1,2,2,1,2,5,3,3,2,2,2,2,3,1,3,5,3,4,3,4,2,3,3,3,3,5,1,3,3,2,1,1,1,1,1,1,2,3,1,2,5,3,3,1,3,3,2,5,2,1,1,3,3,1,1,2,1,1,3,3,5,1,3,1,1,1,0,1,1,1,3,11,FIC
9,31,1,2,16,1,3,2,2,2,3,3,2,3,2,3,1,2,5,1,3,2,1,5,4,2,3,1,4,1,1,2,5,1,3,1,1,5,2,2,3,2,2,1,1,5,2,3,3,1,3,5,5,1,2,2,2,2,3,3,4,5,1,2,2,2,1,2,2,3,1,0,1,0,0,5,9,TEH
10,20,0,0,0,2,3,3,2,4,2,1,2,2,4,2,2,2,2,1,5,1,3,3,1,2,1,3,1,3,1,1,3,1,1,5,1,1,1,2,5,3,3,1,2,3,4,5,1,3,3,3,4,1,2,1,3,1,5,3,3,2,2,5,1,1,3,3,3,1,0,1,0,0,1,3,10,IGGLIA
