matiere__maths,matiere__physique,matiere__info_algo,matiere__biologie,matiere__chimie,matiere__economie_gestion,matiere__droit,matiere__technique_manuel,matiere__langues,matiere__tourisme,matiere__arts,competence__programmation,competence__analyse_quantitative,competence__communication,competence__gestion_projet,competence__manuel_technique,competence__creativite,interet__recherche,interet__entrepreneuriat,interet__terrain,interet__donnees_finance,interet__sante_bio,interet__industrie,environnement_souhaite,moyenne_generale,domaine,parcours,profil_frontiere
1,0,0,0,0,0,1,0,1,0,0,1,1,0,,0,1,,1,1,0,0,1,mixte,13.16,informatique,ESIIA,0
0,0,,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,bureau,11.27,gestion_finance,DTJA,0
0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,,0,0,0,0,1,0,,bureau,10.47,gestion_finance,CAA,0
0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,,0,terrain,13.04,industrie_btp,ICMP,0
0,0,0,0,0,1,0,0,0,0,0,0,,1,,0,1,0,0,0,0,0,0,mixte,10.88,gestion_finance,EMP,0
0,,0,0,1,0,,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,laboratoire,12.72,industrie_btp,ICMP,1
0,0,0,0,0,1,1,0,1,0,0,0,,1,,,,,1,,1,0,0,bureau,12.37,gestion_finance,DTJA,0
0,0,0,0,0,1,1,0,0,0,0,,1,1,1,0,1,0,1,0,0,0,0,mixte,13.45,gestion_finance,EMP,0
1,0,0,0,0,,0,0,0,0,0,0,1,0,1,0,0,,0,,1,0,0,bureau,12.11,gestion_finance,EMP,0
1,1,0,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,,1,0,0,1,terrain,14.43,industrie_btp,GCA,0
1,1,0,0,0,0,,1,0,0,0,0,0,1,1,1,0,0,0,,1,0,1,atelier,11.93,industrie_btp,EMII,0
0,1,0,1,0,,,1,0,0,0,,1,1,1,0,1,0,0,1,0,1,0,laboratoire,11.68,biotechnologies,AEE,0
0,0,,0,0,1,0,0,1,0,0,0,1,0,1,,,1,1,0,1,0,0,atelier,11.66,gestion_finance,FIC,0
0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,laboratoire,8.72,industrie_btp,EMII,1
1,,1,0,0,1,0,0,1,0,0,1,,0,1,0,0,0,0,0,1,0,,bureau,14.08,informatique,ISAIA,0
0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,1,0,atelier,10.45,biotechnologies,AEE,0
1,1,0,0,,0,0,1,0,0,1,0,,1,1,1,0,0,0,1,0,0,1,mixte,11.34,industrie_btp,ICMP,0
0,0,0,0,0,1,1,0,0,0,0,0,0,,1,0,0,1,0,0,1,0,0,bureau,12.8,tourisme_environnement,TEH,0
,1,,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,terrain,11.04,industrie_btp,EMII,0
1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,,0,1,atelier,11.76,industrie_btp,EMII,0
0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,laboratoire,9.08,biotechnologies,PIP,0
,0,0,0,0,,0,1,0,0,0,0,0,0,0,1,0,,0,0,0,0,,laboratoire,14.75,biotechnologies,PIP,1
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,,terrain,8.97,industrie_btp,EMII,0
,,0,0,0,1,,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,bureau,10.3,biotechnologies,PIP,0
1,1,1,0,0,0,0,,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,laboratoire,10.69,informatique,ISAIA,0
,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,terrain,15.43,biotechnologies,PIP,1
0,0,0,0,0,0,0,1,,1,0,0,0,1,0,0,1,0,0,1,0,,0,terrain,12.75,industrie_btp,ICMP,1
0,,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,0,0,0,1,0,mixte,14.04,tourisme_environnement,TEH,0
0,0,0,1,,0,0,0,1,1,0,0,0,1,1,1,1,0,0,1,0,0,,mixte,12.7,tourisme_environnement,TEH,0
1,,0,0,0,1,1,,0,0,0,0,0,1,0,1,0,,1,0,0,0,0,mixte,13.66,gestion_finance,FIC,0
0,,0,1,1,,0,,0,0,0,0,0,,0,1,0,0,0,0,0,1,1,mixte,12.73,biotechnologies,IAA,0
0,0,0,,0,0,0,0,0,,0,0,0,0,0,1,0,0,,1,0,,,bureau,13.51,tourisme_environnement,TEH,0
0,0,1,0,0,1,,0,0,0,0,0,0,1,0,0,0,0,1,0,1,,,bureau,10.79,gestion_finance,FIC,0
,0,1,0,0,0,0,0,,0,0,1,0,0,1,,,0,0,1,1,,0,bureau,12.46,informatique,IMTICIA,0
1,0,1,0,0,0,,0,0,0,0,1,,0,0,0,,0,0,0,0,0,0,atelier,10.34,informatique,IGGLIA,0
0,0,0,1,1,0,0,0,0,0,1,,0,,0,1,0,1,0,1,0,0,0,mixte,9.05,biotechnologies,IAA,0
1,1,,0,1,0,0,1,0,0,1,0,1,0,0,,0,0,0,1,0,0,1,terrain,15.9,informatique,IMTICIA,0
1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,,1,0,1,0,,terrain,11.35,gestion_finance,FIC,0
